New Mexico,Navajo
Wyoming,German
West Virginia,German
Oregon,Russian
Vermont,French
Hawaii,Japanese
Kentucky,German
Texas,Vietnamese
Arizona,Navajo
Oklahoma,Vietnamese
Maine,French
Delaware,Chinese
Montana,German
Arkansas,German
Georgia,Korean
Tennessee,Arabic
New Hampshire,French
Alabama,German
Mississippi,Vietnamese
Indiana,German
Alaska,Aleut Languages
Nevada,Tagalog
North Dakota,German
Washington,Chinese
South Dakota,Dakota Languages
Idaho,German
Rhode Island,Portuguese
Florida,Haitian
North Carolina,French
California,Chinese
Utah,Portuguese
Iowa,Arabic
Louisiana,French
Kansas,Chinese
Maryland,French
Missouri,German
Virginia,Korean
Colorado,German
Michigan,Arabic
Ohio,Arabic
Massachusetts,Portuguese
New Jersey,Portuguese
South Carolina,French
Illinois,Polish
Pennsylvania,Chinese
Nebraska,German
New York,Chinese
Connecticut,Portuguese
Minnesota,Hmong
Wisconsin,German
