Hawaii,Aloha Festival,Hawaiian,Western,19.8987,-155.6659
New Ulm(Minnesota),Bavarian Blast,German,Eastern,44.3144,-94.4593
New York City(New York),Brazilian Day,Brazil,Western,40.7128,-74.0060
Tahlequah(Oklahoma),Cherokee National Holoday,Cherokee,Western,35.9154,-94.9700
San Francisco(California),Chinese New Year Parade,Chinese,Eastern,37.7749,-122.4194
Houston(Texas),Columbian Festival,Columbian,Western,29.7604,-95.3698
Dublin(Ohio),Dublin Irish Festival,Irish,Western,40.0992,-83.1141
Lafayette(Lousiana),Festivals Acadiens et Creoles,Creole(French-African-Spanish-Native American),Mixed,30.2241,-92.0198
Glasgow(Kentucky),Glasgow Higland Games,Scottish,Western,36.9959,-85.9119
Houston(Texas),Japanese Festival of Houston,Japanese,Eastern,29.7604,-95.3698
Kutztown(Pennsylvania),Kutztown Folk Festival,Dutch,Eastern,40.5173,-75.7774
New Orleans(Lousiana),Madri Gras,Roman Catholics,Western,29.9511,-90.0715
Mobile(Alabama),Mobile International Festival,All Cultures,Mixed,30.6954,-88.0399
New York City(New York),Puerto Rican Day,Puetro Rican,Western,41,-74.006
